name,address,위도,경도
명신사,서울 마포구 월드컵로 97 ,37.557297326,126.908714460
복권천국(성서점),대구 달서구 성서로 377,0,0
버스매표소 복권판매소,인천 중구 우현로 69 중앙로지하상가 163호,0,0
또또와복권방,세종 나성북로 30 퍼스트원 어반아트리움 189호,0,0
현리행운복권방,경기 가평군 조종희망로 14 엄마손해장국 ,0,0
충청복권전문점,충남 천안시 서북구 성환읍 성환2로 108,36.916946680,127.132912321
인터넷 복권판매사이트,동행복권,0,0
버스판매소,서울 영등포구 영중로 13 신세계앞,37.517561399,126.905718467
부일카서비스,부산 동구 자성로133번길 35 ,0,0
천운 복권방,인천 미추홀구 매소홀로 468 ,0,0
365대박찬스,경기 양주시 고읍로 96 그린프라자 ,37.795412124,127.081432365
정우,경기 용인시 처인구 백옥대로 607 G마트 대농파머스건물내,0,0
혹시나도,충북 음성군  감곡면 장감로149번길 4-4 복권방,37.119148663,127.639413224
행운복권,서울 노원구 동일로 992 1층,0,0
나라시스컴,서울 영등포구 영등포로 225 영신상가1호,0,0
복권방,부산 사하구 장림번영로 25 ,35.080948548,128.968210408
로또복권,인천 서구 염곡로 343-4 ,37.515414193,126.668506788
가두판매점,경기 안양시 만안구 안양로 265 우리은행 안양중앙지점 우리은행앞도로,0,0
창미슈퍼,경기 화성시 남양성지로 155 ,37.210082832,126.819652614
이마트24 순천산단점,전남 순천시 산단1길 6 중앙정밀기계,34.987992607,127.508180831
365팡팡복권,경남 김해시 진영읍 장등로 53 상가136동108호,0,0
민준복권,경기 군포시 삼성로 5 해피시티 104호,0,0
패밀리복권방,경기 남양주시 늘을2로 20 CH리베로원 103호,0,0
하나로슈퍼복권방,경기 성남시 수정구 수정로366번길 8 대경맨션 대경빌라102호,0,0
영화모음,경기 수원시 장안구 금당로39번길 6 뉴타운프라자A-107,0,0
그랜드로또,경북 구미시  비산로5길 23 ,36.121502190,128.379709665
복권명당,경북 구미시 구미중앙로 72 ,36.129085907,128.330557116
완월로또,경남 창원시 마산합포구 고운로 175 한미초록빌라 세븐일레븐 내,35.197373607,128.561858833
함안 복권방,경남 함안군 함안대로 552 1층,35.275862798,128.405741538
CU(용두으뜸점),서울 동대문구 안암로 52,0,0
신나라,서울 영등포구 선유로 58 ,37.519083342,126.889465825
로또복권판매점,부산 사하구 괴정로57번길 54 ,35.102837479,128.973200946
복권판매점,인천 남동구 구월말로58번길 5-3 1층,0,0
행운 마트,인천 남동구 만수로 65 ,37.461607665,126.735104846
동성슈퍼,울산 울주군 북문1길 7 101호,35.570959030,129.120399421
나눔이매로또,경기 성남시 분당구 양현로94번길 21 구두28호점,0,0
나눔이매로또,경기 성남시 분당구 양현로94번길 21 구두28호점,37.391021630,127.126382155
나눔이매로또,경기 성남시 분당구 양현로94번길 21 구두28호점,0,0
나눔이매로또,경기 성남시 분당구 양현로94번길 21 구두28호점,0,0
오거리복권방,경기 수원시 권선구 구운로85번길 6 1층,37.281603455,126.972821231
마이더스로또복권방,경기 안양시 동안구 안양판교로 12-2,37.400847615,126.977684759
로또판매점,경기 포천시 호국로 1900 ,0,0
도깨비방망이,전남 완도군 완도읍 장보고대로 220 도깨비방망이,34.316077317,126.749225728
대동복권방,경남 김해시 월산로 112-57 월산마을5단지두산위브아파트상가 이마트편의점 좌측 복권판매점,35.206938386,128.804695437
Goodday복권전문점,경남 창원시 성산구 반송로50번길 14 ,0,0
미소마트,서울 강남구 밤고개로 219 강남블루지움 105호,0,0
우리은행금호동지점앞가판,서울 성동구 장터길 46 ,37.548173348,127.020998635
경동플러스,부산 해운대구 세실로 30 경동G-PLUS아파트상가103,0,0
계대마트,대구 달서구 계대동문로 26 1층,0,0
나눔로또 스포츠토토(김포장기점),경기 김포시 김포한강1로78번길 7 장기음식주차타운 1층 110호,37.644919770,126.670700421
천하명당복권방,경남 거제시 옥포성안로 60 ,34.891716805,128.694847951
수퍼복권나라,경남 김해시 율하1로 110 101호 복권판매점,35.172736643,128.815656003
씨유역삼에클라트로또판매점,서울 강남구 테헤란로20길 19 엘지에클라트 1층 씨유역삼에클라트점,0,0
행운플러스,대전 대덕구 덕암로 214 ,36.439491282,127.423785041
복권명당,대전 서구 만년남로3번길 164,0,0
행운복권방,경기 수원시 영통구 반달로7번길 40 평익칼라스위트 평익칼라스위트110호,0,0
노다지복권방,경기 시흥시 복지로 103-1 1층상가,37.448205773,126.792086786
복권명당,경북 구미시 구미중앙로 72 ,0,0
헬로마트,서울 도봉구 도봉로170길 8,37.680365754,127.045929111
행운복권마트,서울 종로구 지봉로 58 ,0,0
뉴빅마트,부산 기장군 정관중앙로 48 106호,0,0
명당일세,경기 평택시 평택로 80 ,36.994062774,127.084876284
대박복권,충남 홍성군 충서로 2423 세븐일레븐,36.637725364,126.743310936
로또복권 황성점,경북 경주시 황성로27번길 2 4호,0,0
로또방양덕점,경북 포항시 북구 양덕로50번길 14 이마트24포항양덕점,36.082896080,129.403495761
씨유(거창대동점),경남 거창군 거창읍 거창대로 93,35.689912616,127.914732153
나눔로또,경남 함안군 용산1길 33 1층,35.308921028,128.516934745
성자점빵,제주 제주시 남광로 5 1층,0,0
GS25(청담중앙점),서울 강남구 선릉로148길 32 ,0,0
가로판매점,서울 서대문구 신촌로 5 창천동,0,0
행운복권방,부산 중구 구덕로 47,35.098062036,129.030523488
GS25(계산동경점),인천 계양구 계양문화로 55 도쿄프라자1층2호,37.535801556,126.736323002
한국종합빌딩(복권),인천 남동구 경인로 530 1층,0,0
한솔복권&마트,인천 미추홀구 경인로 384 1층 1호,0,0
3정승로또복권방,광주 북구 삼정로 10 두암주공4단지아파트 주공4단지 1층 우리마트,35.162824804,126.938222999
우리들(북구청점),울산 북구 무룡로  29 1층 우리들편의점 내,35.581081731,129.363572910
25시슈퍼,경기 시흥시 함송로14번길 13-17 홍익프라자1층107호,37.362453150,126.729998232
백석상회,경기 양주시 백석읍 양주산성로 550 ,0,0
평택21세기편의점,경기 평택시 중앙로 284 1층 21세기편의점,36.990218082,127.114146033
터미널분식,충남 부여군 부장대로 65 ,0,0
복권백화점,서울 마포구 월드컵로 157 ,37.561613221,126.904777944
CU(초읍대공원점),부산 부산진구 성지로 160 목화빌딩,35.182333251,129.047385110
이마트24 광안리굿-7,부산 수영구 광안로 49 ,35.155268510,129.117663480
우리들공업탑점,울산 남구 수암로 11 ,35.532055200,129.309613202
지화자,경기 성남시 수정구 위례광장로 328 1층 116호,37.471340473,127.142775867
복권백화점,경기 파주시 평화로 70,37.763651338,126.769937767
행운복권방,경기 포천시 솔모루로 86-1 ,37.828829513,127.147526596
로또복권방,충남 당진시 반촌로 199 ,36.901467864,126.702812442
로또명당인주점,충남 아산시 서해로 519-2 ,36.877624712,126.896939465
프로또마트,서울 구로구 고척로 156 1층4호,37.503201224,126.851208658
다모아,서울 구로구 공원로6나길 39-1 ,37.504457034,126.891799915
몽곡사,서울 영등포구 버드나루로 51 조광빌딩105호,37.523088486,126.910596590
