날짜,종가,등락율,시작가,최고가,최저가,거래량
2020-09-01,54200,0.37,54100,54800,54100,19363117
2020-08-31,54000,-2.53,56000,56100,54000,32671367
2020-08-28,55400,-0.36,56100,56300,55400,14619888
2020-08-27,55600,-1.42,56300,56300,55600,16196568
2020-08-26,56400,0.00,56400,56500,55700,17651593
2020-08-25,56400,0.53,56400,56800,56100,14021705
2020-08-24,56100,0.36,55800,56600,55400,15055896
2020-08-21,55900,0.90,56200,56900,55800,21142288
2020-08-20,55400,-4.15,57600,57600,55300,30386029
2020-08-19,57800,-1.03,59000,59200,57800,16930719
2020-08-18,58400,0.69,58900,59900,58000,25307825
2020-08-14,58000,-1.19,58000,58400,57700,15672548
2020-08-13,58700,-0.51,59400,59600,58000,22089460
2020-08-12,59000,1.37,58200,59000,57700,18573934
2020-08-11,58200,0.69,58000,59500,57800,24907912
2020-08-10,57800,0.52,57600,58300,57500,17774291
2020-08-07,57500,-0.86,57900,58400,57100,18751717
2020-08-06,58000,1.93,57100,58400,57100,21625874
2020-08-05,56900,-0.70,57300,57500,56300,17739706
2020-08-04,57300,0.88,57200,58100,57000,19419694
2020-08-03,56800,-1.90,57800,57900,56700,21158940
2020-07-31,57900,-1.86,59500,59600,57700,21943345
2020-07-30,59000,0.00,59700,60100,59000,19285354
2020-07-29,59000,0.68,60300,60400,58600,36476611
2020-07-28,58600,5.40,57000,58800,56400,48431566
2020-07-27,55600,2.58,54300,55700,54300,21054421
2020-07-24,54200,0.18,54000,54400,53700,10994535
2020-07-23,54100,-1.10,54700,54700,53800,16214932
2020-07-22,54700,-1.08,55300,55500,54700,12885057
2020-07-21,55300,2.03,55200,55400,54800,18297260
2020-07-20,54200,-0.37,54800,54800,54000,10507530
2020-07-17,54400,1.12,54200,54700,54100,10096174
2020-07-16,53800,-1.65,54800,54800,53800,16779127
2020-07-15,54700,1.67,54400,55000,54300,24051450
2020-07-14,53800,0.75,53700,53800,53200,14269484
2020-07-13,53400,1.33,53300,53800,53100,12240188
2020-07-10,52700,-0.19,53100,53200,52300,13714746
2020-07-09,52800,-0.38,53200,53600,52800,17054850
2020-07-08,53000,-0.75,53600,53900,52900,19664652
2020-07-07,53400,-2.91,55800,55900,53400,30760032
2020-07-06,55000,2.61,54000,55000,53800,19856623
2020-07-03,53600,1.32,53000,53600,52700,11887868
2020-07-02,52900,0.57,52100,52900,52100,14142583
2020-07-01,52600,-0.38,53400,53600,52400,16706143
2020-06-30,52800,0.76,53900,53900,52800,21157172
